#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
5,7,7,7,5,5,3
4,9,4,7,7,3,2
3,3,7,10,5,9,1
7,5,8,6,7,6,3
3,5,2,7,6,5,1
6,2,7,5,4,8,1
6,6,4,3,8,7,3
4,10,4,4,10,5,3
7,6,5,5,4,3,1
7,9,9,8,10,5,2
5,6,5,8,5,9,1
5,4,8,8,5,9,3
6,5,9,8,4,5,2
11,8,10,5,10,8,1
12,6,9,4,9,11,1
3,5,6,11,4,4,1
8,6,8,7,9,9,3
5,5,5,8,4,5,2
7,6,10,10,10,10,3
7,9,6,7,9,8,2
5,5,7,11,5,9,2
6,5,10,13,5,6,2
8,6,10,11,8,12,1
12,11,14,6,10,8,2
15,6,11,5,10,10,1
8,14,5,5,13,5,2
6,7,5,10,10,12,1
14,9,12,9,8,12,2
7,5,12,15,8,14,2
6,8,8,15,5,7,2
8,11,7,6,13,11,1
12,12,11,9,15,8,1
7,7,12,12,7,9,1
17,8,15,5,12,12,1
8,18,8,10,13,6,1
6,6,11,12,10,15,1
11,11,7,7,10,7,1
8,6,12,14,8,17,2
8,14,9,14,12,10,2
6,11,10,17,14,14,3
9,11,13,12,11,10,2
12,10,16,10,15,12,1
18,7,13,9,12,16,1
7,20,7,12,17,5,1
12,15,9,12,13,10,1
17,21,14,10,16,9,1
7,9,12,19,13,14,1
14,7,13,10,10,17,1
11,8,10,8,12,16,2
9,10,10,17,9,12,1
12,14,14,14,8,7,1
15,8,14,12,9,16,1
10,15,16,16,11,13,2
20,15,17,7,20,11,2
11,15,13,16,17,16,1
10,11,9,16,10,9,2
17,10,16,11,15,19,1
9,20,13,17,16,10,1
18,20,13,13,18,9,1
18,12,22,12,14,17,3
21,18,16,11,17,13,1
8,10,10,19,16,18,2
7,14,11,20,10,10,1
20,20,16,12,19,11,1
14,14,11,12,14,16,1
10,10,15,22,13,21,3
14,19,13,10,23,13,3
15,10,17,17,10,19,1
18,12,20,17,15,17,3
13,24,18,18,20,14,1
13,21,15,18,16,15,2
20,8,20,12,10,21,1
10,17,11,23,12,12,2
20,19,19,14,21,18,1
11,14,14,22,14,17,1
13,16,16,18,22,18,1
24,15,18,16,14,11,2
20,18,24,14,21,18,3
24,23,20,18,24,12,1
11,23,16,23,19,12,2
8,13,10,25,16,20,2
26,14,22,13,15,22,1
20,21,15,14,26,16,1
14,10,14,18,13,26,1
18,8,17,12,10,31,3
19,24,23,20,19,19,2
19,11,21,20,17,26,1
23,16,24,15,18,19,1
16,27,22,20,23,18,1
16,23,23,20,21,14,3
29,22,25,14,22,20,1
11,17,17,27,24,21,1
9,19,11,32,23,23,2
14,10,16,25,13,28,1
16,19,18,20,25,21,2
21,17,27,18,16,18,1
27,19,24,21,18,13,2
24,26,22,15,25,15,3
27,23,22,19,17,15,1
23,9,18,17,11,34,3
10,24,13,31,29,18,2
22,25,28,22,22,15,2
22,16,21,15,19,23,1
22,27,25,23,26,24,1
17,32,25,24,29,16,3
27,14,25,15,20,28,1
17,30,16,20,24,20,2
17,22,19,25,24,24,1
33,30,31,18,30,17,3
14,22,22,33,28,24,2
28,25,24,15,27,15,2
10,17,12,35,16,21,3
22,18,24,26,27,26,2
33,10,25,20,13,37,3
27,20,35,18,21,25,3
16,25,19,29,27,24,3
27,24,27,26,19,18,1
34,25,33,20,30,25,1
11,11,13,36,14,38,3
22,31,24,27,32,19,2
17,24,20,30,19,23,1
21,21,28,26,22,26,2
34,28,26,21,36,19,1
30,18,32,26,17,22,2
14,28,23,35,28,15,3
28,26,24,16,28,25,2
24,28,19,24,24,19,2
21,20,19,23,21,30,3
12,30,14,38,33,28,1
25,22,30,28,26,30,1
24,37,25,27,28,22,1
29,15,31,25,25,37,1
34,21,35,21,29,29,2
29,37,30,17,36,20,3
28,12,37,21,13,36,1
38,32,36,20,35,25,1
15,24,25,41,19,25,3
31,22,25,19,20,24,2
12,37,15,39,28,24,3
22,30,27,32,30,17,2
24,28,33,31,32,29,2
34,27,37,25,27,27,3
21,15,22,31,15,38,1
30,31,33,29,40,23,2
25,16,23,25,26,42,1
15,31,17,41,26,22,3
31,35,35,30,38,26,1
33,24,33,17,34,34,1
28,13,28,28,17,41,1
38,30,30,26,35,32,1
34,24,43,25,25,33,1
25,41,20,26,38,20,1
32,22,35,27,27,35,1
41,28,39,23,24,25,1
16,16,26,43,17,41,1
34,31,37,31,30,29,1
32,37,26,22,45,25,2
22,28,27,37,23,27,3
24,35,35,36,37,27,2
30,13,35,35,18,43,1
24,41,25,35,33,26,2
35,36,39,28,35,18,1
29,24,23,27,37,40,1
28,23,24,30,27,37,1
16,44,18,44,44,23,2
13,24,18,47,26,38,3
36,37,35,19,39,32,1
31,33,31,31,39,35,3
40,19,49,26,29,44,1
38,38,41,29,40,28,3
44,32,36,27,27,26,1
47,43,45,23,53,26,1
19,47,29,48,37,27,2
37,39,40,36,42,30,1
32,14,27,27,18,47,2
23,16,27,40,18,45,1
25,34,26,38,39,35,1
39,32,41,29,26,28,1
39,32,39,20,31,31,3
24,31,38,43,27,30,3
32,40,27,30,41,36,2
16,25,18,50,40,45,2
17,19,19,47,29,50,1
33,28,32,32,27,38,1
39,40,42,31,40,21,3
43,26,53,27,32,40,3
34,32,39,36,27,28,1
32,42,29,32,43,30,2
50,50,39,27,46,23,1
50,20,46,24,22,48,1
19,37,30,53,40,36,1
43,32,45,39,29,34,2
32,28,27,29,27,39,1
41,32,43,24,30,34,1
40,36,45,34,33,32,1
28,44,43,47,53,27,2
27,53,32,40,40,27,1
45,16,45,30,20,53,1
32,43,30,37,47,34,1
16,43,20,54,47,42,3
20,30,23,51,34,41,1
36,35,33,34,29,30,2
53,28,41,29,44,49,1
47,48,55,28,46,30,2
37,53,41,41,49,25,2
35,44,32,36,46,24,1
28,22,28,41,35,54,3
56,29,52,25,30,43,1
23,38,37,56,31,30,1
44,47,48,43,56,30,2
44,17,47,26,21,55,1
43,38,47,35,34,37,2
30,37,34,43,41,44,2
51,56,48,31,45,30,1
35,36,31,37,33,36,2
28,23,45,53,25,51,1
41,35,35,37,31,39,3
17,43,22,58,47,36,2
38,59,31,31,54,26,2
23,54,25,54,51,31,1
29,30,31,45,34,45,3
56,44,45,33,49,45,2
50,47,58,31,50,27,2
39,26,35,36,38,56,2
40,31,43,44,48,53,2
62,29,55,26,40,57,1
36,17,32,40,23,61,1
42,39,36,38,36,38,1
47,26,51,46,27,55,1
50,56,51,27,46,35,1
31,38,35,46,31,32,1
54,40,52,33,43,45,3
46,50,50,37,58,32,1
34,30,49,53,32,46,3
29,34,41,60,37,46,2
17,45,24,64,40,40,3
26,53,27,58,55,28,1
39,65,38,42,58,27,2
31,55,32,46,52,33,1
56,49,47,39,52,38,3
50,39,59,34,35,41,1
38,35,31,34,49,53,1
41,50,43,45,54,46,1
39,57,35,44,50,42,2
18,39,26,66,38,46,2
53,44,56,30,44,45,1
50,29,55,41,29,59,1
37,68,43,48,62,27,2
35,29,49,54,43,66,1
55,41,52,35,32,34,1
46,53,42,42,62,34,1
50,34,54,47,34,46,3
71,38,66,29,51,55,1
29,58,44,68,53,35,1
41,51,32,35,54,47,1
29,39,29,62,35,46,3
37,42,45,52,40,47,1
35,56,34,46,59,31,3
60,49,52,42,43,42,2
53,18,62,35,27,68,1
44,53,45,48,58,41,3
40,45,36,47,47,50,2
52,30,45,43,30,63,1
18,60,28,72,53,44,2
51,32,55,49,46,68,2
57,44,59,31,34,36,3
42,56,42,50,66,36,2
54,36,60,43,34,46,1
38,40,54,61,48,54,2
58,74,53,37,72,32,2
12,6,13,3,6,4,1
4,6,5,8,10,12,3
6,5,7,7,4,6,1
10,3,9,2,2,8,3
0,3,1,8,5,6,2
10,5,13,4,6,6,1
5,1,5,7,2,7,3
2,4,6,9,8,9,2
8,7,6,4,7,5,3
5,5,8,9,5,8,1
4,15,3,9,14,3,2
6,6,6,5,6,8,2
5,13,5,8,16,6,1
8,2,7,5,7,12,1
7,0,10,12,2,10,2
7,9,11,10,9,8,1
2,9,3,8,6,4,3
6,11,7,7,10,3,2
5,8,5,10,7,9,2
2,3,9,15,4,9,1
14,18,12,4,15,3,1
3,8,4,10,10,9,3
