#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
-11,-6,0,-3,0,0,1,-5,1,1,2.6,3.3,2.4,1
-8,-4,-5,-2,-2,-2,-1,2,1,-1,2.4,3.3,2.6,2
12,19,0,0,0,0,3,2,2,1,1.35,4.5,7.2,1
-7,-12,-3,-3,-3,-3,-7,-8,-5,-4,2.15,3.3,3.0,2
1,2,5,2,2,-1,4,1,1,-3,1.75,3.4,4.3,1
-3,-5,-1,-2,1,1,0,-2,1,1,2.4,3.3,2.6,1
-3,-6,-2,-2,-2,-2,-4,-5,-4,-4,1.9,3.35,3.6,1
9,-1,8,5,2,2,5,3,0,1,1.65,3.5,4.8,2
2,7,1,-1,-1,-2,1,-2,-2,-3,1.8,3.4,4.0,3
1,-10,3,0,0,-3,-2,-7,-6,-8,2.4,3.3,2.6,1
-12,-14,-5,-2,-2,-2,-8,-3,-4,-3,4.4,3.5,1.7,2
-5,-11,-7,-4,-1,0,-15,-11,-5,-3,2.6,3.3,2.4,2
12,16,2,-1,2,0,5,1,4,1,1.3,4.7,8.3,1
-1,-9,0,3,4,2,-1,1,2,1,2.9,3.3,2.2,1
4,9,6,3,0,0,10,5,2,0,1.5,3.9,5.6,1
10,26,7,7,4,3,17,16,12,8,1.45,4.1,6.0,3
-5,3,-2,-2,1,1,1,2,4,2,2.3,3.3,2.75,2
8,10,0,0,0,0,1,2,0,0,1.95,3.3,3.5,1
7,10,-4,-4,-1,-3,-1,-3,0,-4,1.55,3.8,5.2,1
-11,-3,1,-2,0,0,11,5,6,3,2.2,3.3,2.9,1
-7,-4,-3,0,0,-3,-1,3,4,-3,2.25,3.3,2.8,3
7,9,5,5,3,0,7,8,5,1,1.25,5.0,10.0,1
-6,-13,-6,-3,-1,-1,-11,-6,-2,-1,2.05,3.3,3.2,1
-10,-21,-3,-3,0,1,-11,-10,-3,3,3.3,3.4,2.0,2
4,6,7,4,3,0,8,5,2,0,1.65,3.6,4.6,1
-3,-6,0,-2,-3,-3,-5,-7,-8,-3,2.2,3.3,2.9,2
4,11,-3,-1,-2,-3,-2,-1,-2,-3,1.75,3.4,4.2,1
8,-2,-2,-2,-1,-1,-6,-5,-1,-2,1.9,3.35,3.6,2
-2,-3,1,-2,1,-2,1,-3,4,-1,2.3,3.3,2.75,3
4,1,0,-3,-3,0,1,-1,-1,2,1.55,3.8,5.2,1
14,24,8,5,2,0,14,9,2,1,1.7,3.5,4.4,3
-14,-29,-5,-4,-3,-3,-10,-7,-6,-5,3.6,3.25,1.95,2
-3,-1,4,4,4,2,10,8,4,2,1.85,3.4,3.8,2
6,10,4,4,4,3,5,5,4,3,1.7,3.4,4.6,1
-5,0,4,1,3,3,6,-1,2,3,1.85,3.4,3.8,1
-15,-12,-8,-8,-5,-3,-8,-9,-6,-4,4.6,3.4,1.7,3
13,18,3,1,1,-2,3,-1,0,-2,1.4,4.1,7.0,1
-13,-8,-6,-3,-3,-3,-5,-3,-4,-3,2.65,3.2,2.45,2
-5,-6,3,3,0,3,5,5,2,5,1.9,3.3,3.7,1
3,0,3,0,0,-2,5,0,-1,-3,1.65,3.5,4.8,3
-8,-15,-6,-3,0,0,-12,-4,-1,-1,2.55,3.2,2.55,2
3,-3,-2,-2,-2,0,-5,-5,-5,-4,2.3,3.2,2.85,2
-7,-18,-1,-1,1,1,-6,-1,1,1,2.9,3.3,2.2,3
4,-3,1,1,-1,-1,-2,-1,-2,-2,1.9,3.35,3.6,2
23,29,9,9,6,3,15,16,11,7,1.3,4.6,8.8,3
7,21,-2,0,0,0,3,4,3,4,1.45,3.9,6.5,3
-9,-13,-4,-6,-6,-3,-8,-9,-11,-7,2.65,3.2,2.45,3
3,0,-4,-4,-1,-1,-2,-4,-1,-1,1.7,3.5,4.5,1
9,8,-1,-1,-1,-2,1,1,1,-1,1.45,4.1,6.0,1
0,1,2,1,1,0,9,7,6,0,1.8,3.4,4.0,3
-9,-16,-5,-5,-4,-1,-8,-8,-6,-1,3.1,3.3,2.1,2
-7,-6,-3,0,0,1,-4,-2,-1,5,1.85,3.4,3.75,1
0,6,-2,-3,0,2,-4,-6,-1,1,1.95,3.3,3.5,2
6,-12,3,0,0,0,-2,-6,-5,0,1.9,3.35,3.6,1
12,11,-1,2,2,2,2,6,5,5,1.85,3.4,3.75,2
-14,-25,-7,-6,-6,-3,-11,-10,-11,-2,2.8,3.3,2.25,3
