#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
4,6,10,6,14,8,1.65,3.6,4.6,1
-3,-6,-3,-6,-9,-12,2.2,3.3,2.9,2
4,11,0,1,2,2,1.75,3.4,4.2,1
8,-2,-5,-4,-8,-3,1.9,3.35,3.6,2
-2,-3,1,1,1,4,2.3,3.3,2.75,0
4,1,3,0,3,1,1.55,3.8,5.2,1
14,24,8,2,14,2,1.7,3.5,4.4,0
-14,-29,-8,-6,-22,-18,3.6,3.25,1.95,2
-3,-1,1,1,6,0,1.85,3.4,3.8,2
6,10,7,7,17,16,1.7,3.4,4.6,1
-5,0,7,6,8,4,1.85,3.4,3.8,1
-15,-12,-8,-5,-8,-6,4.6,3.4,1.7,0
13,18,6,4,9,6,1.4,4.1,7.0,1
-13,-8,-9,-6,-7,-6,2.65,3.2,2.45,2
-5,-6,6,3,9,6,1.9,3.3,3.7,1
3,0,3,0,5,-1,1.65,3.5,4.8,0
-8,-15,-9,-3,-14,-3,2.55,3.2,2.55,2
3,-3,-5,-5,-7,-7,2.3,3.2,2.85,2
-7,-18,-1,1,-6,1,2.9,3.3,2.2,0
4,-3,-2,-4,-4,-4,1.9,3.35,3.6,2
23,29,9,6,15,11,1.3,4.6,8.8,0
7,21,-2,0,3,3,1.45,3.9,6.5,0
-9,-13,-4,-6,-8,-11,2.65,3.2,2.45,0
3,0,-1,2,8,9,1.7,3.5,4.5,1
9,8,2,2,7,7,1.45,4.1,6.0,1
0,1,2,1,9,6,1.8,3.4,4.0,0
-9,-16,-8,-7,-10,-8,3.1,3.3,2.1,2
-7,-6,0,3,-2,1,1.85,3.4,3.75,1
0,6,-5,-3,-8,-5,1.95,3.3,3.5,2
6,-12,6,3,0,-3,1.9,3.35,3.6,1
12,11,-4,-1,0,3,1.85,3.4,3.75,2
-14,-25,-7,-6,-11,-11,2.8,3.3,2.25,0
2,5,-5,-4,-5,-6,2.3,3.3,2.75,2
-4,-10,-6,-3,-7,-4,2.25,3.3,2.8,2
1,5,0,0,5,0,1.7,3.5,4.4,0
-18,-29,2,2,-9,-2,2.8,3.3,2.25,1
3,6,9,6,6,2,1.6,3.6,5.0,1
-13,-8,3,3,8,5,2.9,3.3,2.2,1
14,18,9,6,16,12,1.45,4.1,6.0,1
13,14,1,-2,3,-2,1.45,4.1,6.0,2
-8,-3,2,0,3,-2,2.9,3.3,2.2,0
16,39,7,2,11,1,1.4,4.2,6.6,1
6,6,-1,1,-1,0,1.55,3.9,5.0,1
-9,-10,0,1,-1,-2,2.05,3.3,3.2,0
9,10,-2,-4,-5,-7,2.35,3.25,2.7,2
-25,-28,-4,-2,-1,0,4.2,3.6,1.7,0
-8,-18,-11,-5,-18,-8,2.9,3.3,2.2,2
-4,-1,-2,-3,0,-2,2.3,3.35,2.7,2
7,12,-3,-3,-4,-5,1.5,3.9,5.6,0
6,14,3,3,2,2,1.6,3.6,5.0,1
-1,-13,-7,-6,-6,-4,2.35,3.35,2.65,2
9,14,9,6,10,8,1.55,3.7,5.4,1
-16,-28,2,0,5,1,2.4,3.3,2.6,0
-4,-7,7,8,4,7,2.3,3.3,2.75,1
9,16,5,4,7,5,1.55,3.8,5.2,1
15,24,8,6,7,5,1.55,3.8,5.2,1
8,1,5,4,3,6,1.6,3.6,5.0,1
10,26,2,5,3,5,1.55,3.8,5.2,1
-16,-24,-4,0,-8,1,5.0,3.6,1.6,1
10,16,10,6,15,10,1.35,4.4,7.4,1
13,17,0,0,9,7,1.5,3.9,5.6,1
0,7,0,3,-1,4,1.85,3.35,3.8,1
3,5,2,5,-2,4,1.7,3.5,4.4,1
-5,-16,-8,-8,-13,-11,3.0,3.3,2.15,2
-6,-6,-4,-4,-7,-7,2.15,3.3,3.0,0
-11,-11,-9,-6,-14,-7,2.75,3.3,2.3,2
17,25,1,2,4,5,1.55,3.8,5.2,1
-17,-17,-3,-4,-6,-8,2.6,3.3,2.4,2
-1,-6,-1,-2,-4,-3,1.95,3.3,3.5,1
5,-1,5,7,8,9,1.95,3.3,3.5,1
5,4,9,5,10,4,1.5,4.1,5.2,1
-28,-47,-6,-5,-9,-7,5.6,3.9,1.5,2
-11,-17,-3,0,-3,-1,2.4,3.3,2.6,0
-1,9,-2,0,4,4,1.9,3.35,3.6,1
-2,-4,4,0,3,-1,1.9,3.35,3.6,0
21,38,11,6,18,12,1.4,4.2,6.6,1
0,0,5,3,8,4,1.85,3.4,3.75,0
12,8,6,8,9,10,1.45,4.1,6.0,1
4,-5,0,3,-2,1,1.7,3.5,4.4,1
-28,-29,-9,-6,-13,-9,3.5,3.25,1.95,2
-2,-8,5,2,1,-2,2.2,3.3,2.9,1
18,29,-4,-4,-3,-2,1.55,3.9,5.0,2
7,14,3,4,6,10,1.8,3.4,4.0,1
-9,-16,3,0,-1,-4,2.05,3.2,3.3,1
7,14,0,3,-2,1,1.45,4.2,5.7,1
7,19,4,2,6,3,1.6,3.7,4.9,0
-7,-2,-9,-3,-8,-2,2.5,3.3,2.5,0
-8,-8,-5,-3,1,1,2.5,3.3,2.5,2
-9,-27,-3,-4,-5,-6,2.35,3.35,2.65,2
-2,-7,4,7,5,11,2.0,3.45,3.2,1
5,11,4,1,5,1,1.8,3.4,3.95,1
-1,-8,0,-3,0,-4,1.95,3.3,3.5,0
17,34,5,0,8,1,1.25,5.2,9.2,0
2,4,6,4,7,3,1.7,3.6,4.3,1
-10,-16,-3,-3,-6,-2,2.2,3.35,2.85,2
0,-11,6,3,5,3,2.35,3.25,2.7,1
30,48,5,0,11,1,1.2,5.75,10.5,1
-18,-27,-1,0,-2,4,2.3,3.35,2.7,1
11,11,2,2,2,2,1.8,3.5,3.85,2
4,10,-1,0,-2,0,1.95,3.3,3.5,1
9,23,4,5,8,8,1.5,3.9,5.6,1
4,10,3,0,5,2,1.55,3.8,5.2,1
-16,-30,-6,0,-11,0,3.4,3.5,1.9,2
-26,-21,-4,1,-2,4,4.1,3.5,1.75,1
29,48,13,9,15,11,1.25,5.2,9.2,1
-11,-20,1,-1,-2,-4,2.9,3.3,2.2,1
-27,-39,-6,-3,-6,-2,4.1,3.5,1.75,0
-10,-21,3,2,2,3,1.95,3.3,3.5,1
1,0,-1,-3,-3,-5,1.8,3.4,4.0,2
25,17,8,3,11,6,1.4,4.1,7.0,1
-1,11,-6,-5,-2,-4,1.9,3.35,3.6,2
-16,-24,-8,-3,-13,-10,4.1,3.5,1.75,2
-9,-26,2,2,-2,-2,2.4,3.35,2.6,1
6,6,1,-3,3,-4,1.8,3.4,4.0,0
27,40,8,8,8,8,1.25,5.0,10.0,1
-15,-20,1,1,1,3,2.0,3.35,3.3,1
-3,-21,0,-5,0,-3,2.35,3.35,2.65,2
27,55,7,5,13,7,1.25,5.0,10.0,1
5,15,-6,-6,-2,-3,1.75,3.5,4.1,2
-7,-6,1,0,7,2,2.05,3.25,3.25,2
-5,2,6,6,6,6,2.25,3.35,2.8,1
-1,-3,-4,0,-5,-2,2.15,3.3,3.0,2
5,18,-2,0,0,2,2.0,3.35,3.3,1
6,6,6,3,6,3,1.5,3.9,5.6,0
-26,-47,-6,-2,-8,-4,4.2,3.6,1.7,2
-21,-28,-6,-6,-6,-5,4.75,3.5,1.65,2
-31,-49,-3,0,-6,-3,3.5,3.45,1.9,1
-1,-3,-3,1,0,3,1.75,3.4,4.2,0
12,8,-1,-1,-1,-1,1.6,3.6,5.0,2
3,4,-3,-3,-5,-3,1.9,3.35,3.6,2
13,17,-4,-4,-6,-3,1.9,3.45,3.5,2
